City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Rabak,SD,2021-04-05 02:18:51,13.1809,32.74,79.68,12,5,10.54
210,Kaset Sombun,TH,2021-04-05 02:18:52,16.2805,101.9542,81.73,68,93,5.95
211,Severo-Kurilsk,RU,2021-04-05 02:14:33,50.6789,156.125,29.89,80,100,14.12
212,Polunochnoye,RU,2021-04-05 02:18:52,60.8697,60.4153,29.84,98,100,3.49
213,Korla,CN,2021-04-05 02:17:48,41.7597,86.1469,50.88,24,66,7.43
214,Drezdenko,PL,2021-04-05 02:18:52,52.8383,15.8308,39.99,70,90,12.66
215,Nishihara,JP,2021-04-05 02:18:53,26.1842,127.7558,71.6,64,75,16.11
216,Khatanga,RU,2021-04-05 02:18:53,71.9667,102.5,-0.36,81,10,14.56
217,Tafo,GH,2021-04-05 02:18:53,6.7345,-1.6127,73.18,87,70,5.39
218,Flin Flon,CA,2021-04-05 02:18:54,54.7682,-101.865,32.23,94,100,16.46
219,Muros,ES,2021-04-05 02:18:54,42.7762,-9.0603,51.01,68,0,1.99
220,Chicama,PE,2021-04-05 02:18:55,-7.8447,-79.1469,73.87,70,35,2.13
221,Balakhninskiy,RU,2021-04-05 02:18:55,58.0106,114.2769,15.94,67,63,13.51
222,Seydi,TM,2021-04-05 02:18:56,39.4816,62.9137,50.31,49,0,3.51
223,Bengkulu,ID,2021-04-05 02:18:56,-3.8004,102.2655,81.68,70,100,8.66
224,Oussouye,SN,2021-04-05 02:18:56,12.485,-16.5469,73.4,83,0,6.91
225,Forio,IT,2021-04-05 02:18:57,40.7342,13.8646,52.0,61,9,8.99
226,Shimoda,JP,2021-04-05 02:18:57,34.6667,138.95,64.4,82,75,13.8
227,Palmer,US,2021-04-05 02:14:58,42.1584,-72.3287,50.0,34,20,10.36
228,Mahebourg,MU,2021-04-05 02:18:58,-20.4081,57.7,80.01,77,25,5.99
229,Kadoshkino,RU,2021-04-05 02:18:58,54.0257,44.4191,25.0,97,16,4.27
230,Marrakesh,MA,2021-04-05 02:18:59,31.6315,-8.0083,55.4,76,0,3.44
231,Narok,KE,2021-04-05 02:18:59,-1.0783,35.8601,59.49,95,100,2.42
232,Lubango,AO,2021-04-05 02:18:59,-14.9172,13.4925,59.52,67,30,4.74
233,Aklavik,CA,2021-04-05 02:19:00,68.2191,-135.0107,21.2,68,73,6.91
